# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 678  of event 'cache-misses'
# Event count (approx.): 5848014
#
# Overhead  Command         Shared Object         Symbol                
# ........  ..............  ....................  ......................
#
    35.15%  part2-parallel  part2-parallel        [.] compute_averages
    20.40%  part2-parallel  [unknown]             [k] 0xffffffffa7987dba
     9.64%  part2-parallel  [unknown]             [k] 0xffffffffa7987717
     2.54%  part2-parallel  [unknown]             [k] 0xffffffffa6c46b3b
     2.31%  part2-parallel  [unknown]             [k] 0xffffffffa6cba1f0
     2.30%  part2-parallel  [unknown]             [k] 0xffffffffa6bb6f16
     1.88%  part2-parallel  [unknown]             [k] 0xffffffffa69d11a5
     1.21%  part2-parallel  [unknown]             [k] 0xffffffffa6c383c3
     1.21%  part2-parallel  [unknown]             [k] 0xffffffffa6c465ff
     0.96%  part2-parallel  [unknown]             [k] 0xffffffffa6c4919b
     0.95%  part2-parallel  [unknown]             [k] 0xffffffffa69d11ab
     0.95%  part2-parallel  [unknown]             [k] 0xffffffffa6c4c311
     0.94%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc528
     0.93%  part2-parallel  [unknown]             [k] 0xffffffffa6bb76b5
     0.90%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d9a
     0.87%  part2-parallel  [unknown]             [k] 0xffffffffa6bc80e1
     0.58%  part2-parallel  [unknown]             [k] 0xffffffffa796e999
     0.49%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc385
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6cb12a1
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6c49198
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6c47e46
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa7036ec2
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6cb6d57
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6c84dfb
     0.48%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc351
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc329
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa7987d70
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd4b5
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa6cbc50a
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa6cb12a0
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa7036eeb
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa7036ed0
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa6bb6f85
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa6c1eadb
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa6bb76b2
     0.47%  part2-parallel  [unknown]             [k] 0xffffffffa69d11b1
     0.46%  part2-parallel  [unknown]             [k] 0xffffffffa6bcb10f
     0.46%  part2-parallel  [unknown]             [k] 0xffffffffa6cbd49d
     0.46%  part2-parallel  [unknown]             [k] 0xffffffffa6bb6f02
     0.46%  part2-parallel  [unknown]             [k] 0xffffffffa7036e36
     0.46%  part2-parallel  [unknown]             [k] 0xffffffffa6bca126
     0.46%  part2-parallel  [unknown]             [k] 0xffffffffa6bf02f2
     0.45%  part2-parallel  [unknown]             [k] 0xffffffffa6bf055b
     0.44%  part2-parallel  [unknown]             [k] 0xffffffffa7036edd
     0.42%  part2-parallel  [unknown]             [k] 0xffffffffa6bc9115
     0.37%  part2-parallel  [unknown]             [k] 0xffffffffa6c4676c
     0.35%  part2-parallel  [unknown]             [k] 0xffffffffa6a3d529
     0.35%  part2-parallel  [unknown]             [k] 0xffffffffa6c486bf
     0.28%  part2-parallel  [unknown]             [k] 0xffffffffa691dbbf
